Country	PersonID	Role	From	To	Gov.	Ministry	Name-xx	Name-en	Comment
IS	THorgerdurGunnarsdottir	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.landbunadur mstr.sjavarutvegur	-	-	-
IS	BjarniBenediktsson1970	minister	2014-09-09	2016-10-28	GOV_LV.42	mstr.efnahagur mstr.fjarmal	-	-	-
IS	BjarniBenediktsson1970	minister	2016-10-29	2017-01-11	GOV_LV.43	mstr.efnahagur mstr.fjarmal	-	-	-
IS	BjarniBenediktsson1970	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.forsaeti	-	-	-
IS	BjarniBenediktsson1970	minister	2017-11-30	2020-09-30	GOV_LV.45	mstr.efnahagur mstr.fjarmal	-	-	-
IS	GudlaugurTHordarson	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.utanrikismal	-	-	-
IS	GudlaugurTHordarson	minister	2017-11-30	2019-12-31	GOV_LV.45	mstr.utanrikismal	-	-	-
IS	GudlaugurTHordarson	minister	2020-01-01	2020-09-30	GOV_LV.45	mstr.throunarsamvinna mstr.utanrikismal	-	-	-
IS	IllugiGunnarsson	minister	2014-09-09	2016-10-28	GOV_LV.42	mstr.menning mstr.menntamál	-	-	-
IS	IllugiGunnarsson	minister	2016-10-29	2017-01-11	GOV_LV.43	mstr.menning mstr.menntamál	-	-	-
IS	JonGunnarsson	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.sveitastjorn mstr.samgongur	-	-	-
IS	KatrinJakobsdottir	minister	2017-11-30	2020-09-30	GOV_LV.45	mstr.forsaeti	-	-	-
IS	KristjanJuliusson	minister	2014-09-09	2016-10-28	GOV_LV.42	mstr.heilbrigdi	-	-	-
IS	KristjanJuliusson	minister	2016-10-29	2017-01-11	GOV_LV.43	mstr.heilbrigdi	-	-	-
IS	KristjanJuliusson	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.menning mstr.menntamál	-	-	-
IS	KristjanJuliusson	minister	2017-01-24	2017-11-30	GOV_LV.44	mstr.norraen_samstarfsmal	-	-	-
IS	KristjanJuliusson	minister	2017-11-30	2020-09-30	GOV_LV.45	mstr.landbunadur mstr.sjavarutvegur	-	-	-
IS	OlofNordal	minister	2014-12-04	2016-10-28	GOV_LV.42	mstr.innanrikismal	-	-	-
IS	OlofNordal	minister	2016-10-29	2017-01-11	GOV_LV.43	mstr.innanrikismal	-	-	-
IS	RagnheidurArnadottir	minister	2014-09-09	2016-10-28	GOV_LV.42	mstr.vidskipti mstr.idnadur	-	-	-
IS	RagnheidurArnadottir	minister	2016-10-29	2017-01-11	GOV_LV.43	mstr.vidskipti mstr.idnadur	-	-	-
IS	EygloHardardottir	minister	2013-09-30	2017-01-11	GOV_LV.42	mstr.norraen_samstarfsmal	-	-	-
IS	EygloHardardottir	minister	2014-09-09	2016-10-28	GOV_LV.42	mstr.husnaedi mstr.felagsmal	-	-	-
IS	EygloHardardottir	minister	2016-10-29	2017-01-11	GOV_LV.43	mstr.husnaedi mstr.felagsmal	-	-	-
IS	AsmundurDadason	minister	2017-11-30	2018-12-31	GOV_LV.45	mstr.jafnrett mstr.felagsmal	-	-	-
IS	AsmundurDadason	minister	2019-01-01	2020-09-30	GOV_LV.45	mstr.born mstr.felagsmal	-	-	-
IS	GunnarSveinsson	minister	2014-09-09	2016-04-07	GOV_LV.42	mstr.utanrikismal	-	-	-
IS	GunnarSveinsson	minister	2016-04-07	2017-01-11	GOV_LV.43	mstr.landbunadur mstr.sjavarutvegur	-	-	-
IS	SigurdurJohannsson	minister	2014-09-09	2016-04-07	GOV_LV.42	mstr.landbunadur mstr.sjavarutvegur	-	-	-
IS	SigurdurJohannsson	minister	2016-04-07	2017-01-11	GOV_LV.43	mstr.forsaeti	-	-	-
IS	SigurdurJohannsson	minister	2017-11-30	2020-09-30	GOV_LV.45	mstr.sveitastjorn mstr.samgongur	-	-	-
IS	SigmundurGunnlaugsson	minister	2013-09-30	2016-04-07	GOV_LV.42	mstr.forsaeti	-	-	-
IS	SvandisSvavarsdottir	minister	2017-11-30	2020-09-30	GOV_LV.45	mstr.heilbrigdi	-	-	-
IS	SigrunMagnusdottir	minister	2014-12-31	2016-10-28	GOV_LV.42	mstr.audlindir mstr.umhverfismal	-	-	-
IS	SigrunMagnusdottir	minister	2016-10-29	2017-01-11	GOV_LV.43	mstr.audlindir mstr.umhverfismal	-	-	-
IS	SigridurAndersen	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.domsmal	-	-	-
IS	SigridurAndersen	minister	2017-11-30	2019-03-14	GOV_LV.45	mstr.domsmal	-	-	-
IS	BjortOlafsdottir	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.audlindir mstr.umhverfismal	-	-	-
IS	OttarrProppe	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.heilbrigdi	-	-	-
IS	LiljaAlfredsdottir	minister	2016-04-07	2017-01-11	GOV_LV.43	mstr.utanrikismal	-	-	-
IS	LiljaAlfredsdottir	minister	2017-11-30	2020-09-30	GOV_LV.45	mstr.menning mstr.menntamál	-	-	-
IS	BenediktJohannesson	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.efnahagur mstr.fjarmal	-	-	-
IS	THordisGylfadottir	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.nyskopun mstr.ferdamal mstr.idnadur	-	-	-
IS	THordisGylfadottir	minister	2017-11-30	2020-09-30	GOV_LV.45	mstr.nyskopun mstr.ferdamal mstr.idnadur	-	-	-
IS	THordisGylfadottir	minister	2019-03-14	2019-09-06	GOV_LV.45	mstr.domsmal	-	-	-
IS	THorsteinnViglundsson	minister	2017-01-11	2017-11-30	GOV_LV.44	mstr.jafnrett mstr.felagsmal	-	-	-
IS	AslaugSigurbjornsdottir	minister	2019-09-06	2020-09-30	GOV_LV.45	mstr.domsmal	-	-	-
IS	GudmundurGudbrandsson	minister	2017-11-30	2020-09-30	GOV_LV.45	mstr.audlindir mstr.umhverfismal	-	-	-
