ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	PT	BE	1208	BE	2014	1.3	0.7	-	-	9.2	-	-	7.5	1	-	35211	8	-	-	-	0.5	1	0.5	2011	-	1.5	4.9	1.4	-	-	-	2.4	-	1.3	4.2	3.6	-	-	-	5.7	-	2.2	-	3.3	-	3.1	-	6.9	5.3	1	8	6	0.7	-	-	4.7	-	0.0	-	0.8	-	-	9.2	-	13	14	19	-	-	0.8	1.5	-	-	-	0.5	-	2.4	-	0.3	-	3.5	-	2	2.3	-	4.3	-	-	-	5.4	2020.1
1999-2019	PT	BE	1208	BE	2019	0.9	1.0	2.2	3.8	8.5	-	2	7.3	2.5	-	35211	8.2	-	-	-	1.4	1	1.6	2019	7.8	2.6	10.6	0.7	-	-	3.2	-	4.8	1.8	4.2	1	-	-	-	-	-	3.5	-	3.6	-	3.8	-	5.5	-	1	8	6	1.8	1	2	7.3	-	0.0	2.2	1.5	6	-	-	5.4	-	-	-	2	5.9	1.8	2.2	7	7.3	9	1.4	-	2.7	-	0.7	1	8.4	-	1.2	1.9	-	3.2	-	-	-	10.0	2020.1
1999-2019	PT	CDS-PP	1202	CDS-PP	1999	8.2	8.2	-	-	-	-	-	-	-	-	35520	-	-	-	-	-	1	-	1999	-	-	8.2	-	-	-	3.7	-	-	-	5	3	-	4	4.7	2.8	4	2.8	-	-	-	4.0	-	5.5	-	1	5	2	8.4	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.5	-	-	-	-	-	-	-	-	8.3	2020.1
1999-2019	PT	CDS-PP	1202	CDS-PP	2002	8.1	8.1	-	-	-	-	-	-	-	-	35520	-	-	-	-	-	1	-	2002	-	-	8.2	-	-	5.6	3.2	-	-	-	6.5	5.4	-	3.5	4.6	3.3	-	3.3	-	3	-	3.7	-	6.7	-	1	7	2	9.1	-	-	-	-	0.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.1	-	-	-	-	-	-	-	-	8.7	2020.1
1999-2019	PT	CDS-PP	1202	CDS-PP	2006	7.2	8.3	-	-	-	-	-	-	8.1	7	35520	-	7.2	6.1	7.6	8	1	-	2005	-	-	-	6.6	6.9	-	-	-	-	-	6.4	3.6	-	-	-	5.2	-	4.6	-	5.4	-	5.3	-	5	3.3	1	10	2	8.9	-	-	-	-	1.0	-	7.9	7.7	-	-	-	-	-	-	-	-	7.8	-	-	-	4.8	7.2	4.9	6.6	8.4	9.1	-	5.2	6.3	9.1	7.7	8.1	7.4	5.4	8	5.2	7.3	2020.1
1999-2019	PT	CDS-PP	1202	CDS-PP	2010	8.0	8.2	-	-	-	-	-	-	9	7.7	35520	-	-	-	6.6	7	1	-	2009	2.7	6.8	8.4	7.4	4.7	-	-	1.2	-	-	6.5	2	-	-	-	4.2	-	5.2	-	4.6	-	5.5	-	6.1	4	1	6	2	8.8	-	-	-	-	0.0	-	8.5	7.3	2.3	2.7	-	-	-	-	-	5.5	7.8	-	-	-	4.3	6.3	3.2	6.4	8	8.6	-	9.1	5.2	9.2	8.3	7.2	8	6.2	-	-	10.4	2020.1
1999-2019	PT	CDS-PP	1202	PP	2014	8.0	7.0	-	-	8.5	-	-	0.7	6.8	-	35520	4.3	-	-	-	7	1	7	2011	-	6.2	4.3	6.6	-	-	-	1.1	-	5.3	6.2	2.3	-	-	-	6	-	5.7	-	5.7	-	6.1	-	6	3	1	8	2	7.3	-	-	3.3	-	1.0	-	8	-	-	3.2	-	13	5	17	-	-	7.2	7.2	-	-	-	5.8	-	5.6	-	7.8	-	10.4	-	6.7	6.3	-	6.5	-	-	-	12.2	2020.1
1999-2019	PT	CDS-PP	1202	CDS/PP	2019	8.5	8.5	1.8	3.5	8.1	-	3.3	4.9	7.6	-	35520	6.8	-	-	-	7.9	1	8.2	2019	5.2	6.2	6.7	6.1	-	-	3.6	-	3.5	4.5	5.8	5.7	-	-	-	-	-	4.5	-	5.7	-	5.9	-	6.1	-	1	8	2	8.9	1.3	2	7.1	-	0.0	4.2	7	5.9	-	-	7	-	-	-	3	5.4	5.8	7.2	3.3	2.7	6.4	6.9	-	5	-	7.9	0.2	2.2	-	8.2	7.2	-	6.7	-	-	-	4.4	2020.1
-	PT	CH	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	PT	GP-BE	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
