Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG_2017-05-11	ParlaMint-BG_2017-05-11.u1	Стенограмa от 11 пленарнo заседаниe на 1 сесия на 44 Народно събрание на Република България (2017-05-11)	2017-05-11	Еднокамерност	Четиридесет и четвърто народно събрание	1 парламентарна сесия	11 пленарно заседание	2017-05-11	-	Референтен	български	Председател	MP	notMinister	GERB	Парламентарна група: Партия ГЕРБ	Coalition	Център дясно	GlavchevDimitar	Главчев, Димитър Борисов	M	1963
ParlaMint-BG_2017-05-11	ParlaMint-BG_2017-05-11.u2	Стенограмa от 11 пленарнo заседаниe на 1 сесия на 44 Народно събрание на Република България (2017-05-11)	2017-05-11	Еднокамерност	Четиридесет и четвърто народно събрание	1 парламентарна сесия	11 пленарно заседание	2017-05-11	-	Референтен	български	Говорещ	MP	notMinister	GERB	Парламентарна група: Партия ГЕРБ	Coalition	Център дясно	IvanovStanislav	Иванов, Станислав Стоянов	M	1973
ParlaMint-BG_2017-05-11	ParlaMint-BG_2017-05-11.u109	Стенограмa от 11 пленарнo заседаниe на 1 сесия на 44 Народно събрание на Република България (2017-05-11)	2017-05-11	Еднокамерност	Четиридесет и четвърто народно събрание	1 парламентарна сесия	11 пленарно заседание	2017-05-11	-	Референтен	български	Председател	MP	notMinister	GERB	Парламентарна група: Партия ГЕРБ	Coalition	Център дясно	GlavchevDimitar	Главчев, Димитър Борисов	M	1963
ParlaMint-BG_2017-05-11	ParlaMint-BG_2017-05-11.u110	Стенограмa от 11 пленарнo заседаниe на 1 сесия на 44 Народно събрание на Република България (2017-05-11)	2017-05-11	Еднокамерност	Четиридесет и четвърто народно събрание	1 парламентарна сесия	11 пленарно заседание	2017-05-11	-	Референтен	български	Говорещ	-	-	-	-	-	-	-	-	-	-
