Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
PL	MateuszMorawiecki	minister	2019-08-31	2019-09-20	18th government	-	Ministerstwo Finansów	Ministry of Finance	-	-
PL	MateuszMorawiecki	minister	2022-02-10	-	19th government	-	Ministerstwo Finansów	Ministry of Finance	-	-
PL	MateuszMorawiecki	minister	2018-01-10	2018-04-17	18th government	-	Ministerstwo Cyfryzacji	Ministry of Digital Affairs	-	-
PL	MateuszMorawiecki	minister	2019-11-16	2019-12-05	18/19th government	-	Ministerstwo Sportu	Ministry of Sport	https://en.wikipedia.org/wiki/Ministry_of_Sport_and_Tourism_(Poland)	-
PL	MichałKurtyka	minister	2019-11-16	-	19th government	-	Ministerstwo Środowiska	Ministry of Environment	-	-
PL	PawełSzałamacha	minister	2015-11-17	2016-09-28	17th government	-	Ministerstwo Finansów	Ministry of Finance	-	-
PL	PiotrGliński	minister	2015-11-17	-	17/18/19th government	-	Ministerstwo Kultury i Dziedzictwa Narodowego	Ministry of Culture and National Heritage	-	-
PL	PiotrGliński	minister	2020-10-07	2021-10-26	19th government	-	Minister kultury, dziedzictwa narodowego i sportu	Ministry of Culture, National Heritage and Sport	https://en.wikipedia.org/wiki/Ministry_of_Sport_and_Tourism_(Poland)	-
PL	PrzemysławCzarnek	minister	2020-10-20	-	19th government	-	Ministerstwo Nauki i Szkolnictwa Wyższego	Ministry of Science and Higher Education	-	-
PL	PrzemysławCzarnek	minister	2020-10-20	2021-01-01	18/19th government	-	Ministerstwo Edukacji Narodowej	Ministry of National Education	-	-
PL	TadeuszKościński	minister	2019-11-16	2022-02-09	19th government	-	Ministerstwo Finansów	Ministry of Finance	-	-
PL	TeresaCzerwińska	minister	2018-01-10	2019-06-04	18th government	-	Ministerstwo Finansów	Ministry of Finance	-	-
PL	TomaszSiemoniak	minister	2011-02-08	2015-11-12	15/16/17th government	-	Ministerstwo Obrony Narodowej	Ministry of National Defence	https://en.wikipedia.org/wiki/Ministry_of_National_Defence_(Poland)	-
PL	WitoldBańka	minister	2015-11-17	2019-11-15	17/18th government	-	Ministerstwo Sportu i Turystyki	Ministry of Sport and Tourism	-	-
PL	WitoldWaszczykowski	minister	2015-11-17	2018-01-09	17/18th government	-	Ministerstwo Spraw Zagranicznych	Ministry of Foreign Affairs	-	-
PL	WojciechMurdzek	minister	2020-04-16	2020-10-19	19th government	-	Ministerstwo Nauki i Szkolnictwa Wyższego	Ministry of Science and Higher Education	-	-
PL	ZbigniewRau	minister	2020-08-21	-	19th government	-	Ministerstwo Spraw Zagranicznych	Ministry of Foreign Affairs	-	-
PL	ZbigniewZiobro	minister	2015-11-17	-	17/18/19th government	-	Ministerstwo Sprawiedliwości	Ministry of Justice	-	-
PL	ŁukaszSzumowski	minister	2018-01-10	2020-08-20	18/19th government	-	Ministerstwo Zdrowia	Ministry of Health	-	-
