Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT_2017-03-22	ParlaMint-PT_2017-03-22.u1	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 66	2017-03-22	Unicameralism	Série I - XIII Legislatura	Sessão 2	Número 66	22.03.2017	-	Reference	Portuguese	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left Center-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949
ParlaMint-PT_2017-03-22	ParlaMint-PT_2017-03-22.u2	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 66	2017-03-22	Unicameralism	Série I - XIII Legislatura	Sessão 2	Número 66	22.03.2017	-	Reference	Portuguese	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Opposition	Centre-right Center-right	DuarteRogérioMatosVenturaPacheco	Rogério Matos Ventura Pacheco, Duarte	M	1965
ParlaMint-PT_2017-03-22	ParlaMint-PT_2017-03-22.u161	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 66	2017-03-22	Unicameralism	Série I - XIII Legislatura	Sessão 2	Número 66	22.03.2017	-	Reference	Portuguese	Regular	notMP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left Center-left	AntónioLuísSantosdaCosta	Luís Santos da Costa, António	M	1961
ParlaMint-PT_2017-03-22	ParlaMint-PT_2017-03-22.u162	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 66	2017-03-22	Unicameralism	Série I - XIII Legislatura	Sessão 2	Número 66	22.03.2017	-	Reference	Portuguese	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left Center-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949
