Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
HR	MrsićMirando	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo rada i mirovinskog sustava	Ministry of Labour and Pension System	https://en.wikipedia.org/wiki/Ministry_of_Labour_and_Pension_System,_Family_and_Social_Policy	-
HR	ŠikićNada	minister	2016-01-23	2016-10-19	13th cabinet	-	Ministarstvo rada i mirovinskog sustava	Ministry of Labour and Pension System	-	-
HR	ĆorićTomislav	minister	2016-10-20	2017-06-09	14th cabinet	-	Ministarstvo rada i mirovinskog sustava	Ministry of Labour and Pension System	-	-
HR	PavićMarko	minister	2017-06-09	2019-07-17	14th cabinet	-	Ministarstvo rada i mirovinskog sustava	Ministry of Labour and Pension System	-	-
HR	AladrovićJosip	minister	2019-07-22	2020-07-23	14th cabinet	-	Ministarstvo rada i mirovinskog sustava	Ministry of Labour and Pension System	https://en.wikipedia.org/wiki/Ministry_of_Labour_and_Pension_System,_Family_and_Social_Policy	-
HR	AladrovićJosip	minister	2020-07-24	2022-04-29	15th cabinet	-	Ministarstvo rada, mirovinskog sustava, obitelji i socijalne politike	Ministry of Labour and Pension System, Family and Social Policy	-	-
HR	PiletićMarin	minister	2022-04-30	-	15th cabinet	-	Ministarstvo rada, mirovinskog sustava, obitelji i socijalne politike	Ministry of Labour and Pension System, Family and Social Policy	-	-
HR	MatićPredrag	minister	2011-12-23	2016-01-22	12th cabinet	-	Ministarstvo hrvatskih branitelja	Ministry of Croatian Veterans	https://en.wikipedia.org/wiki/Ministry_of_Croatian_Veterans	-
HR	CrnojaMijo	minister	2016-01-23	2016-01-28	13th cabinet	-	Ministarstvo hrvatskih branitelja	Ministry of Croatian Veterans	-	-
HR	NađVesna	minister	2016-01-29	2016-03-21	13th cabinet	-	Ministarstvo hrvatskih branitelja	Ministry of Croatian Veterans	-	-
HR	MedvedTomo	minister	2016-03-22	-	13/14/15th cabinet	-	Ministarstvo hrvatskih branitelja	Ministry of Croatian Veterans	-	-
HR	MornarVedran	minister	2014-06-11	2016-01-22	12th cabinet	-	Ministarstvo znanosti, obrazovanja i sporta	Ministry of Science, Education and Sports	https://en.wikipedia.org/wiki/Ministry_of_Science_and_Education_(Croatia)	-
HR	ŠustarPredrag	minister	2016-01-23	2016-10-19	13th cabinet	-	Ministarstvo znanosti, obrazovanja i sporta	Ministry of Science, Education and Sports	-	-
HR	BarišićPavo	minister	2016-10-20	2019-06-09	14th cabinet	-	Ministarstvo znanosti i obrazovanja	Ministry of Science and Education	https://en.wikipedia.org/wiki/Ministry_of_Science_and_Education_(Croatia)	-
HR	DivjakBlaženka	minister	2017-06-10	2020-07-23	14th cabinet	-	Ministarstvo znanosti i obrazovanja	Ministry of Science and Education	-	-
HR	FuchsRadovan	minister	2020-07-24	-	15th cabinet	-	Ministarstvo znanosti i obrazovanja	Ministry of Science and Education	-	-
HR	ŠipušBerislav	minister	2015-03-25	2016-01-22	12th cabinet	-	Ministarstvo kulture i medija	Ministry of Culture and Media	https://en.wikipedia.org/wiki/Ministry_of_Culture_and_Media_(Croatia)	-
HR	HasanbegovićZlatko	minister	2016-01-23	2016-10-19	13th cabinet	-	Ministarstvo kulture i medija	Ministry of Culture and Media	-	-
HR	ObuljenKoržinekNina	minister	2016-10-20	-	14/15th cabinet	-	Ministarstvo kulture i medija	Ministry of Culture and Media	-	-
HR	LorencinDarko	minister	2013-03-19	2016-01-22	12th cabinet	-	Ministarstvo turizma i sporta	Ministry of Tourism and Sports	https://en.wikipedia.org/wiki/Ministry_of_Tourism_and_Sports_(Croatia)	-
HR	KlimanAnton	minister	2016-01-23	2016-10-19	13th cabinet	-	Ministarstvo turizma i sporta	Ministry of Tourism and Sports	-	-
HR	CappelliGari	minister	2016-10-20	2020-07-23	14th cabinet	-	Ministarstvo turizma i sporta	Ministry of Tourism and Sports	-	-
HR	BrnjacNikolina	minister	2020-07-24	-	15th cabinet	-	Ministarstvo turizma i sporta	Ministry of Tourism and Sports	-	-
HR	MarićGoran	minister	2016-11-15	2019-07-15	13/14th cabinet	-	Ministarstvo državne imovine	Ministry of State Property	https://en.wikipedia.org/wiki/Ministry_of_State_Property_(Croatia)	-
HR	BanožićMario	minister	2019-07-22	2020-07-23	14th cabinet	-	Ministarstvo državne imovine	Ministry of State Property	-	-
HR	ŠimpragaAnja	minister	2020-04-29	-	15th cabinet	-	?	Minister without Portfolio responsible for Social Affairs and Human and Minority Rights	0	-
