Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
BE	WilmèsSophie	minister	2020-10-02	2022-07-14	-	-	
         Ministry of Foreign Affairs
         98th cabinet
      	-	-	-
BE	WilmèsSophie	minister	2015-09-22	2019-10-27	-	-	
         Ministry of Budget
         94/95th cabinet
      	-	https://en.wikipedia.org/wiki/De_Croo_Government	-
BE	LahbibHadja	minister	2022-07-15	-	-	-	
         Ministry of Foreign Affairs
         98th cabinet
      	-	-	-
BE	BacquelaineDaniel	minister	2014-10-11	2020-10-01	-	-	
         Ministry of Pensions
         94/95/96/97th cabinet
      	-	https://en.wikipedia.org/wiki/Daniel_Bacquelaine	-
BE	DermagnePierreYves	minister	2020-10-02	-	-	-	
         Ministry of Economy and Emplyment
         98th cabinet
      	-	-	-
BE	BorsusWilly	minister	2014-10-11	2017-07-28	-	-	
         Ministry of the Small Businesses, Self-Employed, SMEs and Agriculture, Institutional Reforms and Democratic Renewal
         94th cabinet
      	-	https://en.wikipedia.org/wiki/De_Croo_Government	-
BE	DedonderLudivine	minister	2020-10-02	-	-	-	
         Ministry of Defence
         98th cabinet
      	-	-	-
BE	MuylleNathalie	minister	2019-10-03	2020-10-01	-	-	
         Ministry of Employment, Economy, Consumer Affairs
         95/96/97th cabinet
      	-	-	-
BE	DeCrooAlexander	minister	2022-04-21	2022-07-14	-	-	
         Ministry of Foreign Affairs
         98th cabinet
      	-	-	-
BE	DeCrooAlexander	minister	2018-12-10	2020-10-01	-	-	
         Ministry of Finance
         94/95/96/97th cabinet
      	-	-	-
BE	DeCrooAlexander	minister	2014-10-11	2020-10-01	-	-	
         Ministry of Development Cooperation and Urban Policy
         94/95/96/97th cabinet
      	-	https://en.wikipedia.org/wiki/De_Croo_Government	-
BE	GeensKoen	minister	2014-10-11	2020-10-01	-	-	
         Ministry of Justice
         94/95/96/97th cabinet
      	-	https://en.wikipedia.org/wiki/Annemie_Turtelboom	-
BE	DeCremPieter	minister	2018-12-10	2020-10-01	-	-	
         Ministry of the Interior and security
         95/96/97th cabinet
      	-	-	-
