ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT_2018-01-17-0101.1	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP				Muro i Bas, Xavier	M	1905
ParlaMint-ES-CT_2018-01-17-0101.2	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.3	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Ribas i Martí, Rut	F	1990
ParlaMint-ES-CT_2018-01-17-0101.4	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.5	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	JuntsPelSí	JuntsPelSí		Gómez del Moral i Fuster, Gerard	M	1989
ParlaMint-ES-CT_2018-01-17-0101.6	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.7	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	Cs	Cs		Arrimadas García, Inés	F	1981
ParlaMint-ES-CT_2018-01-17-0101.8	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.9	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	Cs	Cs		Arrimadas García, Inés	F	1981
ParlaMint-ES-CT_2018-01-17-0101.10	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.11	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	PP	PP		Rodriguez i Serra, Santi	M	1964
ParlaMint-ES-CT_2018-01-17-0101.12	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.13	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	PP	PP		Rodriguez i Serra, Santi	M	1964
ParlaMint-ES-CT_2018-01-17-0101.14	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.15	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	PSC	PSC		Iceta i Llorens, Miquel	M	1960
ParlaMint-ES-CT_2018-01-17-0101.16	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.17	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	CatenCumú-PODEM	CatenCumú-PODEM		Alamany Gutiérrez, Elisenda	F	1983
ParlaMint-ES-CT_2018-01-17-0101.18	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	ERC	ERC		Maragall i Mira, Ernest	M	1943
ParlaMint-ES-CT_2018-01-17-0101.19	Corpus Parlamentari en català ParlaMint-ES-CT, 2018-01-17 0101 [ParlaMint SAMPLE]	2018-01-17	2018-01-17		12					Reference	Member	MP	JuntsPelSí	JuntsPelSí		Torrent i Ramió, Roger	M	1979
