Country	orgID	orgType	Name-en	Name-xx	From	To	Orientation	Comment
TR	party.AKP	parliamentaryGroup	Adalet ve Kalkınma Partisi	Justice and Development Party	2001-08-14	-		
TR	party.ANAP	parliamentaryGroup	Anavatan Partisi	Motherland Party	1983-05-20	2009-11-01		
TR	party.CHP	parliamentaryGroup	Cumhuriyet Halk Partisi	Republican People's Party	1923-09-09	-		
TR	party.DSP	parliamentaryGroup	Demokratik Sol Parti	Democratic Left Party	1985-11-14	-		
TR	party.DYP	parliamentaryGroup	Doğru Yol Partisi	True Path Party	1983-01-01	-		
TR	party.FAZILET	parliamentaryGroup	Fazilet Partisi	Virtue Party	1997-01-01	2001-01-01		
TR	party.HDP	parliamentaryGroup	Halkların Demokratik Partisi	Peoples' Democratic Party	2012-10-15	-		
TR	party.IYI	parliamentaryGroup	İYİ Parti	İYİ Party	2017-10-25	-		
TR	party.MHP	parliamentaryGroup	Milliyetçi Hareket Partisi	Nationalist Movement Party	1969-02-09	-		
TR	party.ANA	parliamentaryGroup	Anadolu Partisi	Anatolia Party	2014-01-01	2015-12-19		
TR	party.BDP	parliamentaryGroup	Barış ve Demokrasi Partisi	Peace and Democracy Party	2008-05-03	2014-07-01		
TR	party.BBP	parliamentaryGroup	Büyük Birlik Partisi	Great Unity Party	1993-01-29	-		
TR	party.DP	parliamentaryGroup	Demokrat Parti	Democratic Party	1983-01-01	-		
TR	party.DEVA	parliamentaryGroup	Demokrasi ve Atılım Partisi	Democracy and Progress Party	2020-03-09	-		
TR	party.eParti	parliamentaryGroup	Elektronik Demokrasi Partisi	Electronic Democracy Party	2014-01-01	-		
TR	party.MEP	parliamentaryGroup	Merkez Parti	Centre Party	2014-01-01	-		
TR	party.TiP	parliamentaryGroup	Türkiye İşçi Partisi	Workers' Party of Turkey	2017-11-07	-		
TR	party.SAADET	parliamentaryGroup	Saadet Partisi	Felicity Party	2001-07-20	-		
TR	party.YP	parliamentaryGroup	Yenilik Partisi	Innovation Party (Turkey)	2020-01-01	-		
