Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
IS	parliamentaryGroup	party.Bf	Bf	-	-	-	-		
IS	parliamentaryGroup	party.F	F	-	-	-	-		
IS	parliamentaryGroup	party.Flf	Flf	-	-	-	-		
IS	parliamentaryGroup	party.M	M	-	-	-	-		
IS	parliamentaryGroup	party.P	P	-	-	-	-		
IS	parliamentaryGroup	party.S	S	-	-	-	-		
IS	parliamentaryGroup	party.Sf	Sf	-	-	-	-		
IS	parliamentaryGroup	party.U	U	-	-	-	-		
IS	parliamentaryGroup	party.V	V	-	-	-	-		
IS	parliamentaryGroup	party.Vg	Vg	-	-	-	-		
