Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
FR	parliamentaryGroup	PO723569	NI	-	-	2017-06-21	-		
FR	parliamentaryGroup	PO730934	LR	-	-	2017-06-27	-		
FR	parliamentaryGroup	PO730940	GDR	-	-	2017-06-27	-		
FR	parliamentaryGroup	PO730946	NG	-	-	2017-06-27	2018-09-11		
FR	parliamentaryGroup	PO730952	LC	-	-	2017-06-27	2017-11-28		
FR	parliamentaryGroup	PO730958	FI	-	-	2017-06-27	-		
FR	parliamentaryGroup	PO730964	LAREM	-	-	2017-06-27	-		
FR	parliamentaryGroup	PO730970	MODEM	-	-	2017-06-27	2020-09-23		
FR	parliamentaryGroup	PO744425	UDI-AGIR	-	-	2017-11-29	2019-06-10		
FR	parliamentaryGroup	PO758835	SOC	-	-	2018-09-12	-		
FR	parliamentaryGroup	PO759900	LT	-	-	2018-10-18	-		
FR	parliamentaryGroup	PO765636	UDI-I	-	-	2019-06-11	2019-09-27		
FR	parliamentaryGroup	PO767217	UDI-A-I	-	-	2019-09-28	2020-05-25		
FR	parliamentaryGroup	PO771789	EDS	-	-	2020-05-20	2020-10-16		
FR	parliamentaryGroup	PO771889	UDI_I	-	-	2020-05-26	-		
FR	parliamentaryGroup	PO771923	AGIR-E	-	-	2020-05-27	-		
