Country	orgType	orgID	Abb-xx	Abb-en	Full-en	From	To	Orientation	Comment
BG	parliamentaryGroup	party.GERB	ГЕРБ	GERB	-	2006-12-03	-		
BG	parliamentaryGroup	party.BSP	БСП	-	Bulgarian Socialist Party	1891-07-20	-		
BG	parliamentaryGroup	party.KPB	КПБ	-	Communist Party of Bulgaria	1996	-		
BG	parliamentaryGroup	party.ZS	ЗС „Александър Стамболийски“	-	Agrarian Union "Aleksandar Stamboliyski"	1993	-		
BG	parliamentaryGroup	party.NZ	НЗ	-	New Dawn	1996-03	-		
BG	parliamentaryGroup	party.DPS	ДПС	-	Movement for Rights and Freedoms	1990-01-04	-		
BG	parliamentaryGroup	party.VMRO	ВМРО–БНД	-	IMRO – Bulgarian National Movement	1989	-		
BG	parliamentaryGroup	party.FRONT	НФСБ	-	National Front for the Salvation of Bulgaria	2011-05-17	-		
BG	parliamentaryGroup	party.ATAKA	Атака	-	Attack	2005-04-17	-		
BG	parliamentaryGroup	party.VOLYA	ВОЛЯ	-	Volya Movement	2007-07-15	-		
BG	parliamentaryGroup	party.ABV	АБВ	-	Alternative for Bulgarian Revival	2014	-		
BG	parliamentaryGroup	party.BGUn	ПБГ	-	Bulgaria Uncensored	2014	-		
BG	parliamentaryGroup	party.RB	РБ	-	Reformist Bloc	2013	-		
BG	parliamentaryGroup	party.PF	ПФ	-	Patriotic Front	2014	-		
