Country	PersonID	Role	From	To	Gov.	Ministry	Name-xx	Name-en	Comment
IT	AlfanoAngelino	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	AlfanoAngelino	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	FontanaLorenzo	minister	2018-06-01	2019-07-10	GOV.CONTE.1	-	-	-	-
IT	FontanaLorenzo	minister	2019-07-11	2019-09-04	GOV.CONTE.1	-	-	-	-
IT	PolettiGiuliano	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	PolettiGiuliano	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	GuidiFederica	minister	2014-02-22	2016-04-05	GOV.RENZI.1	-	-	-	-
IT	PadoanPietroCarlo	minister	2014-02-24	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	PadoanPietroCarlo	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	CancellieriAnnaMaria	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	QuagliarielloGaetano	minister	2013-04-28	2014-02-21	GOV.LETTA.1	-	-	-	-
IT	GentiloniSilveriPaolo	minister	2014-11-01	2016-12-11	GOV.RENZI.1	-	-	-	-
IT	PinottiRoberta	minister	2016-12-12	2018-05-31	GOV.GENTILONI.1	-	-	-	-
IT	PinottiRoberta	minister	2014-02-22	2016-12-11	GOV.RENZI.1	-	-	-	-
