affiliationRole	orgRole	BE	BG	CZ	DK	ES	FR	GB	GR	HR	HU	IS	IT	LT	LV	NL	PL	SI	TR
chairperson	commission	-	-	-	-	-	-	-	-	-	-	-	-	48	-	-	-	-	-
chairperson	committee	-	-	-	-	-	-	-	-	-	-	-	-	46	-	-	-	-	-
chairperson	delegation	-	-	-	-	-	-	-	-	-	-	-	-	22	-	-	-	-	-
chairperson	interparliamentaryFriendshipGroup	-	-	-	-	-	-	-	-	-	-	-	-	115	-	-	-	-	-
chairperson	politicalGroup	-	-	-	-	-	-	-	-	-	-	-	-	35	-	-	-	-	-
chairperson	subcommittee	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-
chairperson	workingGroup	-	-	-	-	-	-	-	-	-	-	-	-	73	-	-	-	-	-
chiefInspector		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
commander		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
constitutionalJudge		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
deputyChief		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
deputyMinister		-	28	-	21	-	-	-	-	-	-	-	224	-	-	-	-	-	-
deputyMinister	parliament	-	-	-	-	-	-	-	122	-	-	-	-	-	-	-	-	-	-
deputyPrimeMinister		-	13	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-
deputyPrimeMinister	parliament	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
director		-	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
headOfDelegation	delegation	-	-	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
headOfDepartment		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
leader		-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
leader	boardOfParliament	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-
leader	conferenceOfChairs	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
leader	politicalParty	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member		-	29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	boardOfDirectors	-	-	114	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	chamberOfTheNations	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	chamberOfThePeople	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	coalition	-	116	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	commission	-	-	620	-	-	18	-	-	-	-	-	-	485	-	-	-	-	-
member	committee	-	-	1629	-	-	-	-	-	-	-	-	-	488	-	-	-	-	-
member	conferenceOfChairs	-	-	-	-	-	-	-	-	-	-	-	-	73	-	-	-	-	-
member	delegation	-	-	267	-	-	-	-	-	-	-	-	-	132	-	-	-	-	-
member	ethnicCommunity	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-
member	europeanParliament	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	government	-	-	87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	independent	-	-	-	-	-	-	-	178	-	-	-	-	-	-	-	-	12	-
member	institution	-	-	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	internationalOrganizations	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	interparliamentaryFriendshipGroup	-	-	3824	-	-	-	-	-	-	-	-	-	2684	-	-	-	-	-
member	nationalCouncil	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	politicalGroup	-	-	862	-	-	764	-	-	-	-	-	1040	420	185	-	-	-	-
member	politicalParty	955	310	-	497	795	-	4128	958	186	194	350	-	-	-	466	720	261	2381
member	senate	-	-	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	subcommittee	-	-	1931	-	-	-	-	-	-	-	-	-	32	-	-	-	-	-
member	supervisoryBoard	-	-	95	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
member	workingGroup	-	-	10	-	-	-	-	-	-	-	-	-	1601	-	-	-	-	-
minister		-	59	-	88	-	-	-	-	-	-	48	92	-	-	33	-	-	-
minister	government	-	-	85	-	-	24	-	-	-	-	-	-	-	-	-	-	-	-
minister	parliament	-	-	-	-	-	-	1872	117	-	-	-	-	-	-	-	-	-	-
ministerDelegate	government	-	-	-	-	-	7	-	-	-	-	-	-	-	-	-	-	-	-
ministerOfState	government	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-
nonAttachedMember	politicalGroup	-	-	-	-	-	29	-	-	-	-	-	-	-	-	-	-	-	-
observer	europeanParliament	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ombudsman		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
president		-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
president	parliament	-	-	-	-	-	-	-	27	-	-	-	-	-	-	-	-	-	-
president	politicalGroup	-	-	-	-	-	-	-	-	-	-	-	52	-	-	-	-	-	-
presidentEP		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
presidiumMember	politicalGroup	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
primeMinister		-	5	-	3	-	-	-	-	-	-	-	5	-	-	1	-	-	-
primeMinister	government	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
primeMinister	parliament	-	-	-	-	-	-	4	7	-	-	-	-	-	-	-	-	-	-
prosecutorGeneral		-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
replacement	boardOfDirectors	-	-	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
replacement	delegation	-	-	63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
