Country	orgID	orgType	Name-en	Name-xx	From	To	Orientation	Comment
LT	politicalGroup.LVŽSF	parliamentaryGroup	Lietuvos valstiečių ir žaliųjų sąjungos frakcija	Faction of the Lithuanian Farmers and Greens Union	-	-		
LT	politicalGroup.MG	parliamentaryGroup	Mišri Seimo narių grupė	Mixed group of Seimas members	-	-		
LT	politicalGroup.TS-LKDF	parliamentaryGroup	Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija	Faction of the Homeland Union-Lithuanian Christian Democrats	-	-		
LT	politicalGroup.LSF	parliamentaryGroup	Liberalų sąjūdžio frakcija	Faction of the Liberals Movement	-	-		
LT	politicalGroup.FLG	parliamentaryGroup	Frakcija "Lietuvos gerovei"	Faction "For Lithuania’s Welfare"	-	-		
LT	politicalGroup.TTF	parliamentaryGroup	Frakcija "Tvarka ir teisingumas"	Faction "Order and Justice"	-	-		
LT	politicalGroup.LSDDF	parliamentaryGroup	Lietuvos socialdemokratų darbo frakcija	Lithuanian Social Democratic Labour Faction	-	-		
LT	politicalGroup.LSDPF	parliamentaryGroup	Lietuvos socialdemokratų partijos frakcija	Faction of the Lithuanian Social Democratic Party	-	-		
LT	politicalGroup.TTFSL	parliamentaryGroup	Frakcija "Tvarka ir teisingumas (Suvereni Lietuva)"	Faction "Order and Justice (Sovereign Lithuania)"	-	-		
LT	politicalGroup.LLRA-KŠSF	parliamentaryGroup	Lietuvos lenkų rinkimų akcijos-Krikščioniškų šeimų sąjungos frakcija	Faction of the Faction of the  Electoral Action of Poles in Lithuania-Christian Families Alliance	-	-		
LT	politicalGroup.DPF	parliamentaryGroup	Darbo partijos frakcija	Faction of the Labour Party	-	-		
LT	politicalGroup.DKF	parliamentaryGroup	Frakcija "Drąsos kelias"	Faction "The Way of Courage"	-	-		
LT	politicalGroup.LLRAF	parliamentaryGroup	Lietuvos lenkų rinkimų akcijos frakcija	Faction of the Electoral Action of Poles in Lithuania	-	-		
