Country	PersonID	Role	From	To	Gov.	Ministry	Name-xx	Name-en	Comment
CZ	MarieBenesova.1948	minister	2013-07-10T11:00:00	2014-01-29T14:00:00	government	government.VladaCR.1103	-	-	-
CZ	MartinBaxa.1975	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	MartinKupka.1975	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	MartinStropnicky.1956	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government	government.VladaCR.1338	-	-	-
CZ	MartinStropnicky.1956	minister	2014-01-29T14:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	MartinStropnicky.1956	minister	1998-01-02T00:00:00	1998-07-21T00:00:00	government	government.VladaCR.149	-	-	-
CZ	MichaelaMarksova.1969	minister	2014-01-29T14:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	MichalSalomoun.1974	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	MilanChovanec.1970	minister	2014-01-29T14:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	MilanUrban.1958	minister	2005-04-25T17:00:00	2006-08-16T16:00:00	government	government.VladaCR.740	-	-	-
CZ	MilanUrban.1958	minister	2004-08-04T11:00:00	2005-04-25T09:00:00	government	government.VladaCR.731	-	-	-
CZ	MilanUrban.1958	minister	2003-03-20T00:00:00	2004-08-04T11:00:00	government	government.VladaCR.603	-	-	-
CZ	MiroslavKalousek.1960	minister	2010-07-13T00:00:00	2013-07-10T11:00:00	government	government.VladaCR.951	-	-	-
CZ	MiroslavKalousek.1960	minister	2007-01-09T11:00:00	2009-05-08T16:00:00	government	government.VladaCR.849	-	-	-
CZ	PavelBlazek.1969	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	PavelBlazek.1969	minister	2012-07-03T00:00:00	2013-07-10T11:00:00	government	government.VladaCR.951	-	-	-
CZ	PetrBendl.1966	minister	2011-10-06T00:00:00	2013-07-10T11:00:00	government	government.VladaCR.951	-	-	-
CZ	PetrBendl.1966	minister	2009-01-23T11:00:00	2009-05-08T16:00:00	government	government.VladaCR.849	-	-	-
CZ	PetrFiala.1964	minister	2012-05-02T10:00:00	2013-07-10T11:00:00	government	government.VladaCR.951	-	-	-
CZ	PetrGazdik.1974	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	RichardBrabec.1966	minister	2018-06-27T09:00:00	2021-12-17T11:00:00	government	government.VladaCR.1494	-	-	-
