chair	Chairperson	ParlaMint-BE	Voorzitter
chair	Chairperson	ParlaMint-BG	Председател
chair	Chairperson	ParlaMint-CZ	Předsedající
chair	Chairperson	ParlaMint-DK	
chair	Chairperson	ParlaMint-ES	Presidencia
chair	Chairperson	ParlaMint-FR	Président
chair	Chairperson	ParlaMint-GB	
chair	Chairperson	ParlaMint-GR	ΠΡΟΕΔΡΕΥΟΝ
chair	Chairperson	ParlaMint-HR	Predsjedavajući
chair	Chairperson	ParlaMint-HU	Házelnök
chair	Chairperson	ParlaMint-IS	Þingforseti
chair	Chairperson	ParlaMint-IT	Presidente
chair	Chairperson	ParlaMint-LT	Pirmininkas
chair	Chairperson	ParlaMint-LV	Priekššedētājs
chair	Chairperson	ParlaMint-NL	
chair	Chairperson	ParlaMint-PL	Przewodniczący
chair	Chairperson	ParlaMint-SI	Predsedujoči
chair	Chairperson	ParlaMint-TR	
chairOfSenate	Chair of Senate	ParlaMint-BE	Voorzitter van de senaat
EuropeanCommissioner	European Commissioner	ParlaMint-BE	Europees commissaris
government	Government	ParlaMint-FR	Gouvernement
guest	Guest	ParlaMint-BE	Gastspreker
guest	Guest	ParlaMint-BG	Гост
guest	Guest	ParlaMint-CZ	Host
guest	Guest	ParlaMint-DK	
guest	Guest	ParlaMint-ES	Orador/a invitado/a
guest	Guest	ParlaMint-FR	Invité
guest	Guest	ParlaMint-GB	
guest	Guest	ParlaMint-GR	Επισκέπτης
guest	Guest	ParlaMint-HR	Gost
guest	Guest	ParlaMint-IS	Gestur
guest	Guest	ParlaMint-IT	Ospite
guest	Guest	ParlaMint-LT	Svečias
guest	Guest	ParlaMint-LV	Viesis
guest	Guest	ParlaMint-NL	
guest	Guest	ParlaMint-PL	Gość
guest	Guest	ParlaMint-SI	Gost
guest	Guest	ParlaMint-TR	
irregular	Guest	ParlaMint-HU	Vendég
minister	Minister	ParlaMint-BE	Minister
other	Other type of speaker	ParlaMint-BE	Overig sprekertype
presidentOfTheEuropeanCommission	President Of the European Commission	ParlaMint-BE	Voorzitter van de Europese Commissie
primeMinister	Prime Minister	ParlaMint-BE	Premier
rapporteur	Reporting	ParlaMint-BE	Rapporteur
regular	Regular	ParlaMint-BE	Lid federaal parlement
regular	Regular	ParlaMint-BG	Говорещ
regular	Regular	ParlaMint-CZ	Poslanec
regular	Regular	ParlaMint-DK	
regular	Regular	ParlaMint-ES	Diputado/a
regular	Regular	ParlaMint-GB	
regular	Regular	ParlaMint-GR	Τακτικός
regular	Regular	ParlaMint-HR	Redovni
regular	Regular	ParlaMint-HU	Képviselő
regular	Regular	ParlaMint-IS	Venjulegur
regular	Regular	ParlaMint-IT	Membro
regular	Regular	ParlaMint-LT	Nuolatinis
regular	Regular	ParlaMint-LV	Deputāts
regular	Regular	ParlaMint-NL	
regular	Regular	ParlaMint-PL	Parlamentarzysta
regular	Regular	ParlaMint-SI	Navadni
regular	Regular	ParlaMint-TR	
secretaryOfState	Secretary Of State	ParlaMint-BE	Staatssecretaris
secretary	Secretary	ParlaMint-BE	Secretaris
speaker	Regular	ParlaMint-FR	Orateur
staffMemberOfMinister	Staff Member of Minister	ParlaMint-BE	Ministeriële staf
unknown	Government	ParlaMint-FR	Gouvernement
unknown	Unknown	ParlaMint-BE	Onbekend
unknown	unknown	ParlaMint-TR	
