ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	LV	-	2401	JL	2002	6.8	7.0	-	-	-	-	-	-	-	-	87423	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.5	5	-	-	-	7	4.4	-	3	5.5	4.5	-	4.2	-	6	-	6.5	-	6.7	-	0	4	2	6.3	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	-	-	-	-	-	-	-	-	23.9	2020.1
1999-2019	LV	-	2407	LC	2002	5.5	6.3	-	-	-	-	-	-	-	-	87410	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.8	5	-	-	-	6.8	3.7	-	5	5.7	5	-	5	-	6	-	7.0	-	10	-	0	4	3	3.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	4.9	2020.1
1999-2019	LV	-	2404	LPP	2002	5.5	6.7	-	-	-	-	-	-	-	-	87521	-	-	-	-	-	0	-	2002	-	-	-	-	-	5	4.5	-	-	-	6.2	4.8	-	-	6	6	-	4.7	-	5.5	-	5.8	-	4.2	-	0	4	4	8.3	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	9.5	2020.1
1999-2019	LV	-	2408	LSDSP	2002	2.8	3.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	2002	-	-	-	-	-	6	4.5	-	-	-	6.2	5.6	-	-	5	5	-	4.3	-	3.3	-	4.8	-	3.3	-	0	4	5	7.7	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	4	2020.1
1999-2019	LV	-	2402	PCTVL	2002	1.2	1.7	-	-	-	-	-	-	-	-	87422	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.7	5	-	-	-	6	5.6	-	4.5	5.5	5.2	-	4.2	-	2.5	-	4.2	-	4.2	-	0	4	6	6.3	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	-	-	-	-	-	-	-	-	19	2020.1
1999-2019	LV	-	2406	TB-LNNK	2002	7.8	5.3	-	-	-	-	-	-	-	-	87723	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.3	3.3	-	-	-	6.5	6.3	-	4	5	4	-	4	-	4.2	-	5.2	-	5.8	-	0	4	1	6.7	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	-	-	-	-	-	-	-	5.4	2020.1
1999-2019	LV	-	2403	TP	2002	7.0	8.3	-	-	-	-	-	-	-	-	87610	-	-	-	-	-	0	-	2002	-	-	-	-	-	4.2	4	-	-	-	6.8	3.7	-	3	4.3	4	-	4.2	-	6	-	6.2	-	7.5	-	0	4	2	6	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	16.6	2020.1
1999-2019	LV	-	2401	JL	2006	7.0	7.0	-	-	-	-	-	-	6	4.3	87423	-	7.8	7	6	7.7	0	-	2006	-	-	19.7	7.5	7.3	-	-	-	-	-	6	2.8	-	-	-	5	-	6.2	-	6	-	5.8	-	6.7	5.2	1	4	2	5	-	-	-	-	0.5	-	5.8	3.3	-	-	-	-	-	-	-	-	7.7	-	-	-	2.3	7.5	3.3	7	3.2	3.8	-	18	5.2	4.5	6.2	5.7	2.5	4	9	8.2	16.4	2020.1
1999-2019	LV	-	2407	LC	2006	6.8	8.0	-	-	-	-	-	-	5	5.7	87410	-	3.8	6.3	7	8	0	-	2006	-	-	6.5	4.2	7.7	-	-	-	-	-	6.5	1.2	-	-	-	5.2	-	6.5	-	6.8	-	7.0	-	8.3	6	1	4	3	6	-	-	-	-	1.0	-	4.2	3	-	-	-	-	-	-	-	-	5	-	-	-	2.7	8.5	2.3	6	4.2	3.5	-	3.3	5.5	4.2	7	7	2	3	8.2	7.8	2.8	2020.1
1999-2019	LV	-	2404	LPP	2006	7.0	7.8	-	-	-	-	-	-	6.5	4.3	87521	-	3.5	5.3	5	7.3	0	-	2006	-	-	3.3	3.2	7.3	-	-	-	-	-	5.8	3.5	-	-	-	5	-	5.8	-	6.2	-	5.8	-	5.8	5.2	1	4	4	8	-	-	-	-	1.0	-	4.5	3	-	-	-	-	-	-	-	-	4.7	-	-	-	2.7	8	2.3	6.3	10	10	-	6.7	7.7	9.8	7.5	7.7	3.5	2	6.5	5.2	5.8	2020.1
1999-2019	LV	-	2408	LSDSP	2006	2.2	2.2	-	-	-	-	-	-	5.8	3	-	-	3	4.7	2.3	-	0	-	2006	-	-	4.8	2.5	7.3	-	-	-	-	-	5.2	3.5	-	-	-	4.8	-	4.5	-	4.5	-	5.5	-	2.5	3.8	1	4	5	6	-	-	-	-	0.0	-	4.2	2.3	-	-	-	-	-	-	-	-	5.3	-	-	-	8.3	1.2	2	5.3	2.5	1.8	-	0	3.8	6	2.2	5.3	2	3.3	2	4.5	3.5	2020.1
1999-2019	LV	-	2402	PCTVL	2006	1.2	1.5	-	-	-	-	-	-	5.8	3.7	87422	-	0.5	6.3	2.3	2	0	-	2006	-	-	10.7	0.3	9.7	-	-	-	-	-	5.3	3.2	-	-	-	5.2	-	4.5	-	4.2	-	4.5	-	2.5	3.8	1	4	6	4.5	-	-	-	-	0.0	-	4.2	2.3	-	-	-	-	-	-	-	-	3.7	-	-	-	-	1.2	2	5	2	1.5	-	6	4.2	4.8	2.5	5	1.2	2.7	0.2	6.5	6.0	2020.1
1999-2019	LV	-	2410	SC	2006	3.0	3.2	-	-	-	-	-	-	5	5.3	-	-	3.8	5.7	3.7	4	0	-	2006	-	-	4.8	1	8.3	-	-	-	-	-	5.5	3.5	-	-	-	5	-	4.5	-	5	-	5.5	-	4.2	4.5	1	4	5	4.2	-	-	-	-	0.0	-	2.8	2.7	-	-	-	-	-	-	-	-	3.7	-	-	-	3.7	4	2.3	5.3	2.5	2.5	-	17	4	5.3	3.5	5.3	2	3	3	4.2	14.4	2020.1
1999-2019	LV	-	2406	TB-LNNK	2006	9.0	7.8	-	-	-	-	-	-	7	3.7	87723	-	9.8	9.7	4.7	7	0	-	2006	-	-	29.8	9.8	9.3	-	-	-	-	-	5.5	3.2	-	-	-	5.5	-	5.5	-	4.8	-	4.8	-	4.2	3.5	1	4	1	8.5	-	-	-	-	0.5	-	9.2	9.7	-	-	-	-	-	-	-	-	10	-	-	-	2.7	8	2.7	6.7	5	5.5	-	8	7.2	7.5	6.5	-	5	6.3	8.2	7.5	6.9	2020.1
1999-2019	LV	-	2403	TP	2006	7.2	7.8	-	-	-	-	-	-	6.8	4.3	87610	-	7.7	6.3	6.7	7.3	0	-	2006	-	-	6.6	6.8	7.3	-	-	-	-	-	6.2	2	-	-	-	5	-	6.2	-	6.2	-	6.5	-	8.3	6	1	4	2	5.8	-	-	-	-	1.0	-	5.2	3.3	-	-	-	-	-	-	-	-	7.3	-	-	-	2	8.2	3	6.3	3.2	3.8	-	23	4.8	6	6.5	5.7	3.2	3.3	9	8	19.6	2020.1
1999-2019	LV	-	2410	SC	2010	3.2	2.3	-	-	-	-	-	-	5	5.2	-	-	-	-	5	3.3	0	-	2011	4.7	6.2	19.6	1.2	9.1	-	-	2.4	-	-	5	5.8	-	-	-	4.4	-	3.1	-	3.9	-	3.1	-	4.4	3.8	1	10	5	5.3	-	-	-	-	0.0	-	4.7	6.6	3.6	6.8	-	-	-	-	-	7	1.9	-	-	-	5.4	2.6	5.4	3.7	3.2	3.2	-	31	5	7	3.1	4.9	3.1	4.7	-	-	28.4	2020.1
1999-2019	LV	-	2411	ZRP	2010	6.4	6.7	-	-	-	-	-	-	4.2	5.6	-	-	-	-	5.6	6	0	-	2011	5.2	5.3	-	3.3	6.2	-	-	1	-	-	5.8	5.3	-	-	-	4.7	-	5	-	5.1	-	6.0	-	7.1	4.4	1	10	2	5.1	-	-	-	-	1.0	-	4.8	6.2	4.3	3.6	-	-	-	-	-	6.6	3.8	-	-	-	5.5	5.8	5.4	3.7	3.1	3.1	-	22	5.3	5	5.9	5.7	4.4	4.7	-	-	20.8	2020.1
1999-2019	LV	-	2402	LKS	2014	3.2	2.9	-	-	6	-	-	9.4	7.2	-	87422	6.3	-	-	-	2.8	0	1.8	2014	-	6.5	6.4	0.5	-	-	-	3	-	2	6	3.5	-	-	-	2.8	-	2.1	-	4	-	2.9	-	3.9	4	1	11	6	8.3	-	-	7.6	-	0.0	-	4.2	-	-	8.9	-	7	12	11	-	-	3.5	4.1	-	-	-	2.7	-	3.5	-	6.8	-	0	-	8.8	3.8	-	2.5	-	-	-	1.6	2020.1
1999-2019	LV	-	2410	SDPS	2014	4.0	3.6	-	-	7.6	-	-	7.4	5.4	-	-	4	-	-	-	3.8	0	3.4	2014	-	7	13	1.4	-	-	-	2.1	-	3.1	6.1	3.7	-	-	-	3.9	-	3	-	4.9	-	4.2	-	4.7	4	1	11	5	7	-	-	4.7	-	0.0	-	4.7	-	-	7.6	-	7	13	11	-	-	3.4	3	-	-	-	3.1	-	4.5	-	4.9	-	24	-	7.1	5	-	2.6	-	-	-	23	2020.1
1999-2019	LV	-	2402	LKS	2019	2.3	3.2	5.5	1.7	3.7	-	1	7.3	5.4	-	87422	3.4	-	-	-	3.1	0	4	2018	2.2	5.5	6.2	0.4	-	-	3.9	-	5.2	3.7	5.4	3.2	-	-	-	-	-	3.1	-	4.7	-	4.3	-	5.3	-	1	12	6	7	1	6	5.1	-	0.0	2.7	4.8	3.8	-	-	7.7	-	-	-	2.4	5	3.5	2.5	3.7	4.8	5.6	2.8	-	4.2	-	5.4	4.5	0	-	5.1	3.8	-	3.1	-	-	-	3.2	2020.1
